VirusGENBANKaccession,Virus GENBANK accession,Virus name(s),Host source,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
MN876841,MN876841,Saccharolobus solfataricus rod-shaped virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus saccharolobi
KX712143,KX712143,Sulfolobus islandicus rod-shaped virus 3,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus gunnuhverense
AJ344259,AJ344259,Sulfolobus islandicus rod-shaped virus 2,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus hveragerdiense
AJ414696,AJ414696,Sulfolobus islandicus rod-shaped virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Icerudivirus,,Icerudivirus kverkfjoellense
AJ875026,AJ875026,Acidianus rod-shaped virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Itarudivirus,,Itarudivirus pozzuoliense
MK064565,MK064565,Sulfolobales Beppu rod-shaped virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Japarudivirus,,Japarudivirus beppuense
JX944686,JX944686,Sulfolobales Mexican rod-shaped virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Mexirudivirus,,Mexirudivirus azufresense
KY744230,KY744230,Sulfolobus islandicus rod-shaped virus 10,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus acidum
KY744228,KY744228,Sulfolobus islandicus rod-shaped virus 9,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus aestus
KY744229,KY744229,Sulfolobus islandicus rod-shaped virus 8,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus caloris
KY744234,KY744234,Sulfolobus islandicus rod-shaped virus 11,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus dryadis
KY744233,KY744233,Sulfolobus islandicus rod-shaped virus 5,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus nymphense
KY744231,KY744231,Sulfolobus islandicus rod-shaped virus 4,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Usarudivirus,,Usarudivirus yellowstonense
AJ567472,AJ567472,Acidianus filamentous virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Ungulaviridae,,Captovirus,,Captovirus yellowstonense
OP413840,OP413840,Methanophagales virus PBV300,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Maximonvirales,,Ahmunviridae,,Yumkaaxvirus,,Yumkaaxvirus pescaderoense
KU307456,KU307456,Pyrobaculum filamentous virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus pozzuoliense
MN876844,MN876844,Pyrobaculum filamentous virus 2,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Alphatristromavirus,,Alphatristromavirus puteoliense
X14855,X14855,Thermoproteus tenax virus 1,archaea,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Primavirales,,Tristromaviridae,,Betatristromavirus,,Betatristromavirus kraflaense
DQ665917,DQ665917,Lucké tumor herpesvirus; ranid herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo1
DQ665652,DQ665652,frog virus 4; ranid herpesvirus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo2
KX832224,KX832224,ranid herpesvirus 3,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Batravirus,,Batravirus ranidallo3
FJ940765,FJ940765,Japanese eel herpesvirus; anguillid herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus anguillidallo1
JQ815363,JQ815363,carp pox herpesvirus; cyprinid herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo1
JQ815364,JQ815364,goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo2
DQ657948,DQ657948,koi herpesvirus; cyprinid herpesvirus 3,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Cyvirus,,Cyvirus cyprinidallo3
FJ815289,FJ815289,white sturgeon herpesvirus 2; acipenserid herpesvirus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus acipenseridallo2
M75136,M75136,channel catfish virus; ictalurid herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus ictaluridallo1
MG271984,MG271984,black bullhead herpesvirus; ictalurid herpesvirus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Ictavirus,,Ictavirus ictaluridallo2
AF023673,AF023673,herpesvirus salmonis; salmonid herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo1
EU349274,EU349274,Oncorhyncus masou herpesvirus; salmonid herpesvirus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo2
EU349277,EU349277,epizootic epitheliotropic disease virus; salmonid herpesvirus 3,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Alloherpesviridae,,Salmovirus,,Salmovirus salmonidallo3
JX453331,JX453331,abalone herpesvirus; haliotid herpesvirus 1,invertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Malacoherpesviridae,,Aurivirus,,Aurivirus haliotidmalaco1
AY509253,AY509253,oyster herpesvirus; ostreid herpesvirus 1,invertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Malacoherpesviridae,,Ostreavirus,,Ostreavirus ostreidmalaco1
MK360902,MK360902,cacatuid alphaherpesvirus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus cacatuidalpha2
JN596962,JN596962,gallid alphaherpesvirus 1; infectious laryngotracheitis virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus gallidalpha1
AY372243,AY372243,psittacid alphaherpesvirus 1; Pacheco's disease virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus psittacidalpha1
MK955929,MK955929,psittacid alphaherpesvirus 5,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Iltovirus,,Iltovirus psittacidalpha5
JF999965,JF999965,anatid alphaherpesvirus 1; duck enteritis virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus anatidalpha1
KX589235,KX589235,columbid alphaherpesvirus 1; pigeon herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus columbidalpha1
AF243438,AF243438,gallid alphaherpesvirus 2; Marek's disease virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus gallidalpha2
HQ840738,HQ840738,gallid alphaherpesvirus 3; gallid herpesvirus 3,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus gallidalpha3
AF291866,AF291866,meleagrid alphaherpesvirus 1; turkey herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus meleagridalpha1
LT608135,LT608135,spheniscid alphaherpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Mardivirus,,Mardivirus spheniscidalpha1
HQ878327,HQ878327,chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus chelonidalpha5
KM924292,KM924292,testudinid alphaherpesvirus 3; testudinid herpesvirus 3,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Scutavirus,,Scutavirus testudinidalpha3
KY385637,KY385637,ateline alphaherpesvirus 1; herpesvirus ateles 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus atelinealpha1
MT862163,MT862163,bovine alphaherpesvirus 2; bovine mammillitis virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus bovinealpha2
AY714813,AY714813,cercopithecine alphaherpesvirus 2; simian agent 8,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus cercopithecinealpha2
JN555585,JN555585,human alphaherpesvirus 1; herpes simplex virus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha1
JN561323,JN561323,human alphaherpesvirus 2; herpes simplex virus 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus humanalpha2
JQ596859,JQ596859,leporid alphaherpesvirus 4; leporid herpesvirus 4,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus leporidalpha4
AF533768,AF533768,macacine alphaherpesvirus 1; B-virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha1
KY628968,KY628968,macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha2
KY628970,KY628970,macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macacinealpha3
KT594769,KT594769,macropodid alphaherpesvirus 1; Parma wallaby herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha1
MT900475,MT900475,macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha2
MT900474,MT900474,macropodid alphaherpesvirus 4,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus macropodidalpha4
JQ360576,JQ360576,panine alphaherpesvirus 3; chimpanzee herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus paninealpha3
DQ149153,DQ149153,papiine alphaherpesvirus 2; herpesvirus papio 2,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus papiinealpha2
AB825953,AB825953,pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha1
LC492974,LC492974,pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus pteropodidalpha2
HM625781,HM625781,saimiriine alphaherpesvirus 1; herpesvirus saimiri 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Simplexvirus,,Simplexvirus saimiriinealpha1
JX898220,JX898220,bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha1
AY261359,AY261359,bovine alphaherpesvirus 5; bovine encephalitis herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bovinealpha5
KU936049,KU936049,bubaline alphaherpesvirus 1; water buffalo herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus bubalinealpha1
KT819633,KT819633,canid alphaherpesvirus 1; canine herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus canidalpha1
MG989243,MG989243,caprine alphaherpesvirus 1; goat herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus caprinealpha1
AF275348,AF275348,cercopithecine alphaherpesvirus 9; simian varicella virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cercopithecinealpha9
MH036942,MH036942,cervid alphaherpesvirus 1; red deer herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cervidalpha1
MH036943,MH036943,cervid alphaherpesvirus 2; reindeer herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cervidalpha2
MH036941,MH036941,cervid alphaherpesvirus 3; elk herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cervidalpha3
AY665713,AY665713,equid alphaherpesvirus 1; equine abortion virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha1
KM051845,KM051845,equid alphaherpesvirus 3; equine coital exanthema virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha3
AF030027,AF030027,equid alphaherpesvirus 4; equine rhinopneumonitis virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha4
MT012704,MT012704,equid alphaherpesvirus 6; asinine herpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha6
MF431611,MF431611,equid alphaherpesvirus 8; asinine herpesvirus 3,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha8
AP010838,AP010838,equid alphaherpesvirus 9; gazelle herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha9
FJ478159,FJ478159,felid alphaherpesvirus 1; feline viral rhinotracheitis virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus felidalpha1
X04370,X04370,human alphaherpesvirus 3; varicella-zoster virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus humanalpha3
MF678601,MF678601,monodontid alphaherpesvirus 1; beluga whale alphaherpesvirus 1,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus monodontidalpha1
MH509440,MH509440,phocid alphaherpesvirus 1; harbour seal herpesvirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus phocidalpha1
JF797218,JF797218,suid alphaherpesvirus 1; pseudorabies virus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus suidalpha1
FJ483970,FJ483970,aotine betaherpesvirus 1; owl monkey cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus aotinebeta1
JQ264772,JQ264772,cebine betaherpesvirus 1; capuchin monkey cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus cebinebeta1
FJ483968,FJ483968,cercopithecine betaherpesvirus 5; simian cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus cercopithecinebeta5
AY446894,AY446894,human betaherpesvirus 5; human cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus humanbeta5
AY186194,AY186194,macacine betaherpesvirus 3; rhesus cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus macacinebeta3
JN227533,JN227533,macacine betaherpesvirus 8; cynomolgus macaque cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus macacinebeta8
KR297253,KR297253,mandrilline betaherpesvirus 1; drill monkey cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus mandrillinebeta1
AF480884,AF480884,panine betaherpesvirus 2; chimpanzee cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus paninebeta2
AC090446,AC090446,papiine betaherpesvirus 3; olive baboon cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus papiinebeta3
KR351281,KR351281,papiine betaherpesvirus 4; chacma baboon cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus papiinebeta4
FJ483967,FJ483967,saimiriine betaherpesvirus 4; squirrel monkey cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus saimiriinebeta4
GU305914,GU305914,murid betaherpesvirus 1; murine cytomegalovirus,vertebrates,Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Muromegalovirus,,Muromegalovirus muridbeta1
